Counter Cnt, pH,,
0,3.27354676,,
1,3.28296982,0.5,0.00942306
2,3.29135607,1.5,0.00838625
3,3.31131187,2.5,0.0199558
4,3.32921295,3.5,0.01790108
5,3.34821426,4.5,0.01900131
6,3.37150406,5.5,0.0232898
7,3.37256441,6.5,0.00106035
8,3.37680731,7.5,0.0042429
9,3.38530032,8.5,0.00849301
10,3.39273957,9.5,0.00743925
11,3.40657482,10.5,0.01383525
12,3.42043541,11.5,0.01386059
13,3.43218339,12.5,0.01174798
14,3.44930375,13.5,0.01712036
15,3.46324231,14.5,0.01393856
16,3.47505626,15.5,0.01181395
17,3.49011844,16.5,0.01506218
18,3.50305228,17.5,0.01293384
19,3.51276682,18.5,0.00971454
20,3.52249351,19.5,0.00972669
21,3.53439818,20.5,0.01190467
22,3.54415185,21.5,0.00975367
23,3.55717565,22.5,0.0130238
24,3.56913309,23.5,0.01195744
25,3.57784081,24.5,0.00870772
26,3.58764847,25.5,0.00980766
27,3.5996521,26.5,0.01200363
28,3.60730022,27.5,0.00764812
29,3.61714431,28.5,0.00984409
30,3.62480922,29.5,0.00766491
31,3.63138499,30.5,0.00657577
32,3.64016108,31.5,0.00877609
33,3.64784803,32.5,0.00768695
34,3.6544427,33.5,0.00659467
35,3.66104276,34.5,0.00660006
36,3.66654693,35.5,0.00550417
37,3.67425908,36.5,0.00771215
38,3.67977225,37.5,0.00551317
39,3.68528917,38.5,0.00551692
40,3.69191442,39.5,0.00662525
41,3.70075648,40.5,0.00884206
42,3.70518111,41.5,0.00442463
43,3.71071528,42.5,0.00553417
44,3.71625319,43.5,0.00553791
45,3.72401256,44.5,0.00775937
46,3.7306693,45.5,0.00665674
47,3.7362207,46.5,0.0055514
48,3.74288734,47.5,0.00666664
49,3.74622268,48.5,0.00333534
50,3.75401039,49.5,0.00778771
51,3.75846381,50.5,0.00445342
52,3.76403396,51.5,0.00557015
53,3.76849278,52.5,0.00445882
54,3.77406967,53.5,0.00557689
55,3.77741761,54.5,0.00334794
56,3.78188362,55.5,0.00446601
57,3.78746951,56.5,0.00558589
58,3.79194092,57.5,0.00447141
59,3.79641474,58.5,0.00447382
60,3.80089095,59.5,0.00447621
61,3.80536955,60.5,0.0044786
62,3.80873009,61.5,0.00336054
63,3.81433397,62.5,0.00560388
64,3.8199416,63.5,0.00560763
65,3.82555298,64.5,0.00561138
66,3.82892161,65.5,0.00336863
67,3.83341521,66.5,0.0044936
68,3.83791122,67.5,0.00449601
69,3.84240962,68.5,0.0044984
70,3.84803599,69.5,0.00562637
71,3.85253979,70.5,0.0045038
72,3.85704599,71.5,0.0045062
73,3.86155459,72.5,0.0045086
74,3.86719371,73.5,0.00563912
75,3.8717077,74.5,0.00451399
76,3.87622409,75.5,0.00451639
77,3.88074289,76.5,0.0045188
78,3.88413356,77.5,0.00339067
79,3.88865655,78.5,0.00452299
80,3.89431366,79.5,0.00565711
81,3.89884205,80.5,0.00452839
82,3.90223991,81.5,0.00339786
83,3.90563913,82.5,0.00339922
84,3.91017352,83.5,0.00453439
85,3.9147103,84.5,0.00453678
86,3.91924949,85.5,0.00453919
87,3.92379107,86.5,0.00454158
88,3.92833505,87.5,0.00454398
89,3.93288143,88.5,0.00454638
90,3.93743021,89.5,0.00454878
91,3.94084337,90.5,0.00341316
92,3.94539635,91.5,0.00455298
93,3.94767374,92.5,0.00227739
94,3.95109095,93.5,0.00341721
95,3.95450951,94.5,0.00341856
96,3.95906968,95.5,0.00456017
97,3.96249139,96.5,0.00342171
98,3.96591444,97.5,0.00342305
99,3.96933885,98.5,0.00342441
100,3.9727646,99.5,0.00342575
101,3.97733438,100.5,0.00456978
102,3.97962016,101.5,0.00228578
103,3.98419353,102.5,0.00457337
104,3.98762513,103.5,0.0034316
105,3.99105809,104.5,0.00343296
106,3.99449239,105.5,0.0034343
107,3.99907355,106.5,0.00458116
108,4.002511,107.5,0.00343745
109,4.00709637,108.5,0.00458537
110,4.01053697,109.5,0.0034406
111,4.01397892,110.5,0.00344195
112,4.01742221,111.5,0.00344329
113,4.02086686,112.5,0.00344465
114,4.02431286,113.5,0.003446
115,4.0277602,114.5,0.00344734
116,4.03235876,115.5,0.00459856
117,4.03580926,116.5,0.0034505
118,4.0392611,117.5,0.00345184
119,4.0427143,118.5,0.0034532
120,4.04616884,119.5,0.00345454
121,4.05077699,120.5,0.00460815
122,4.05308197,121.5,0.00230498
123,4.05769373,122.5,0.00461176
124,4.06230788,123.5,0.00461415
125,4.06461586,124.5,0.00230798
126,4.06807895,125.5,0.00346309
127,4.0726985,126.5,0.00461955
128,4.07616474,127.5,0.00346624
129,4.08078849,128.5,0.00462375
130,4.08310126,129.5,0.00231277
131,4.08772861,130.5,0.00462735
132,4.0912007,131.5,0.00347209
133,4.09351617,132.5,0.00231547
134,4.0969905,133.5,0.00347433
135,4.10046619,134.5,0.00347569
136,4.10394322,135.5,0.00347703
137,4.10626199,136.5,0.00231877
138,4.11090134,137.5,0.00463935
139,4.11322191,138.5,0.00232057
140,4.11670389,139.5,0.00348198
141,4.12018722,140.5,0.00348333
142,4.12251019,141.5,0.00232297
143,4.12599577,142.5,0.00348558
144,4.1294827,143.5,0.00348693
145,4.13180807,144.5,0.00232537
146,4.13529725,145.5,0.00348918
147,4.13878778,146.5,0.00349053
148,4.14227966,147.5,0.00349188
149,4.14577288,148.5,0.00349322
150,4.14926746,149.5,0.00349458
151,4.15392899,150.5,0.00466153
152,4.15626066,151.5,0.00233167
153,4.15975929,152.5,0.00349863
154,4.16325926,153.5,0.00349997
155,4.16676058,154.5,0.00350132
156,4.17026326,155.5,0.00350268
157,4.17376728,156.5,0.00350402
158,4.17727265,157.5,0.00350537
159,4.18077937,158.5,0.00350672
160,4.18428744,159.5,0.00350807
161,4.18662691,160.5,0.00233947
162,4.19013723,161.5,0.00351032
163,4.1936489,162.5,0.00351167
164,4.19716192,163.5,0.00351302
