Counter Cnt, pH
0.00000000, 3.12750439
0.00000000, 3.12750439
1.00000000, 3.13365823
2.00000000, 3.13981747
3.00000000, 3.14701008
4.00000000, 3.15523919
5.00000000, 3.16141733
6.00000000, 3.16863197
7.00000000, 3.17585396
8.00000000, 3.18411666
9.00000000, 3.19031999
10.00000000, 3.19756402
11.00000000, 3.20377904
12.00000000, 3.20999945
13.00000000, 3.21518726
14.00000000, 3.22141757
15.00000000, 3.22765328
16.00000000, 3.23389439
17.00000000, 3.23909944
18.00000000, 3.24430823
19.00000000, 3.24952077
20.00000000, 3.25473707
21.00000000, 3.25995711
22.00000000, 3.26518090
23.00000000, 3.27040843
24.00000000, 3.27563972
25.00000000, 3.28087475
26.00000000, 3.28611354
27.00000000, 3.29030726
28.00000000, 3.29555279
29.00000000, 3.30080207
30.00000000, 3.30605510
31.00000000, 3.31026022
32.00000000, 3.31551999
33.00000000, 3.32078352
34.00000000, 3.32499703
35.00000000, 3.32921295
36.00000000, 3.33448622
37.00000000, 3.33870753
38.00000000, 3.34398755
39.00000000, 3.34821426
40.00000000, 3.35244337
41.00000000, 3.35667488
42.00000000, 3.36090879
43.00000000, 3.36514510
44.00000000, 3.36938380
45.00000000, 3.37468556
46.00000000, 3.37892967
47.00000000, 3.38317617
48.00000000, 3.38636262
49.00000000, 3.38955042
50.00000000, 3.39273957
51.00000000, 3.39699387
52.00000000, 3.40125057
53.00000000, 3.40444467
54.00000000, 3.40870557
55.00000000, 3.41296887
56.00000000, 3.41723456
57.00000000, 3.42043541
58.00000000, 3.42470530
59.00000000, 3.42790930
60.00000000, 3.43218339
61.00000000, 3.43645988
62.00000000, 3.43966883
63.00000000, 3.44394952
64.00000000, 3.44823261
65.00000000, 3.45144650
66.00000000, 3.45680598
67.00000000, 3.46002347
68.00000000, 3.46431555
69.00000000, 3.46753619
70.00000000, 3.47075818
71.00000000, 3.47505626
72.00000000, 3.47828140
73.00000000, 3.48150789
74.00000000, 3.48473572
75.00000000, 3.48904160
76.00000000, 3.49227258
77.00000000, 3.49550492
78.00000000, 3.49981679
79.00000000, 3.50305228
80.00000000, 3.50521001
81.00000000, 3.50952729
82.00000000, 3.51276682
83.00000000, 3.51600770
84.00000000, 3.51924993
85.00000000, 3.52141217
86.00000000, 3.52465664
87.00000000, 3.52790247
88.00000000, 3.53114965
89.00000000, 3.53331518
90.00000000, 3.53764805
91.00000000, 3.54089928
92.00000000, 3.54306751
93.00000000, 3.54632099
94.00000000, 3.55066105
95.00000000, 3.55283198
96.00000000, 3.55500352
97.00000000, 3.55934838
98.00000000, 3.56260860
99.00000000, 3.56478283
100.00000000, 3.56804530
101.00000000, 3.57130912
102.00000000, 3.57457429
103.00000000, 3.57784081
104.00000000, 3.58110868
105.00000000, 3.58328801
106.00000000, 3.58764847
107.00000000, 3.58982960
108.00000000, 3.59310241
109.00000000, 3.59637658
110.00000000, 3.59856011
111.00000000, 3.60183652
112.00000000, 3.60402155
113.00000000, 3.60730022
114.00000000, 3.60948674
115.00000000, 3.61276765
116.00000000, 3.61495568
117.00000000, 3.61823884
118.00000000, 3.62152336
119.00000000, 3.62371378
120.00000000, 3.62590480
121.00000000, 3.62919246
122.00000000, 3.63248148
123.00000000, 3.63467490
124.00000000, 3.63796616
125.00000000, 3.64125877
126.00000000, 3.64455272
127.00000000, 3.64674945
128.00000000, 3.65004565
129.00000000, 3.65224388
130.00000000, 3.65554233
131.00000000, 3.65774205
132.00000000, 3.65994237
133.00000000, 3.66214329
134.00000000, 3.66434481
135.00000000, 3.66654693
136.00000000, 3.66985124
137.00000000, 3.67095297
138.00000000, 3.67315689
139.00000000, 3.67646389
140.00000000, 3.67756653
141.00000000, 3.68087533
142.00000000, 3.68639300
143.00000000, 3.68860112
144.00000000, 3.69191442
145.00000000, 3.69412403
146.00000000, 3.69633425
147.00000000, 3.69854507
148.00000000, 3.70075648
149.00000000, 3.70296850
150.00000000, 3.70518111
151.00000000, 3.70850116
152.00000000, 3.71071528
153.00000000, 3.71292999
154.00000000, 3.71514530
155.00000000, 3.71846940
156.00000000, 3.72068621
157.00000000, 3.72290363
158.00000000, 3.72623087
159.00000000, 3.72844979
160.00000000, 3.73177928
161.00000000, 3.73399969
162.00000000, 3.73622070
163.00000000, 3.73844232
164.00000000, 3.74177586
165.00000000, 3.74399897
166.00000000, 3.74622268
167.00000000, 3.74955937
