Counter Cnt, pH
0.00000000, 3.59856011
0.00000000, 3.59856011
1.00000000, 3.59965210
2.00000000, 3.59965210
3.00000000, 3.59965210
4.00000000, 3.59965210
5.00000000, 3.59856011
6.00000000, 3.59965210
7.00000000, 3.59965210
8.00000000, 3.59965210
9.00000000, 3.60074424
10.00000000, 3.60074424
11.00000000, 3.60292896
12.00000000, 3.60511429
13.00000000, 3.60620718
14.00000000, 3.60839340
15.00000000, 3.61167387
16.00000000, 3.61386159
17.00000000, 3.61823884
18.00000000, 3.62152336
19.00000000, 3.62590480
20.00000000, 3.63028865
21.00000000, 3.63577183
22.00000000, 3.64125877
23.00000000, 3.64784803
24.00000000, 3.65224388
25.00000000, 3.65664212
26.00000000, 3.66214329
27.00000000, 3.66764822
28.00000000, 3.67315689
29.00000000, 3.67756653
30.00000000, 3.68197856
31.00000000, 3.68528917
32.00000000, 3.68970540
33.00000000, 3.69522907
34.00000000, 3.70186242
35.00000000, 3.70850116
36.00000000, 3.71736122
37.00000000, 3.72512164
38.00000000, 3.73066930
39.00000000, 3.73622070
40.00000000, 3.74288734
41.00000000, 3.74733476
42.00000000, 3.75178458
43.00000000, 3.75735023
44.00000000, 3.76291963
45.00000000, 3.77072308
46.00000000, 3.77630148
47.00000000, 3.78300050
48.00000000, 3.78858714
49.00000000, 3.79417753
50.00000000, 3.79977167
51.00000000, 3.80536955
52.00000000, 3.80985056
53.00000000, 3.81433397
54.00000000, 3.81881978
55.00000000, 3.82330798
56.00000000, 3.82667571
57.00000000, 3.83004479
58.00000000, 3.83453899
59.00000000, 3.83903559
60.00000000, 3.84578499
61.00000000, 3.85366612
62.00000000, 3.85929999
63.00000000, 3.86493761
64.00000000, 3.87057898
65.00000000, 3.87509477
66.00000000, 3.87961296
67.00000000, 3.88413356
68.00000000, 3.88865655
69.00000000, 3.89318194
70.00000000, 3.89657755
71.00000000, 3.90110714
72.00000000, 3.90563913
73.00000000, 3.91130749
74.00000000, 3.91697959
75.00000000, 3.92151998
76.00000000, 3.92606276
77.00000000, 3.93060794
78.00000000, 3.93629279
79.00000000, 3.94084337
80.00000000, 3.94539635
81.00000000, 3.94995173
82.00000000, 3.95564933
83.00000000, 3.96021010
84.00000000, 3.96363226
85.00000000, 3.96933885
86.00000000, 3.97276460
87.00000000, 3.97619171
88.00000000, 3.98076328
89.00000000, 3.98533725
90.00000000, 3.98991362
91.00000000, 3.99449239
92.00000000, 3.99792804
93.00000000, 4.00251100
94.00000000, 4.00594980
95.00000000, 4.01053697
96.00000000, 4.01397892
97.00000000, 4.01857028
98.00000000, 4.02316404
99.00000000, 4.02661094
100.00000000, 4.03235876
101.00000000, 4.03580926
102.00000000, 4.04041202
103.00000000, 4.04386566
104.00000000, 4.04847262
105.00000000, 4.05308197
106.00000000, 4.05884704
107.00000000, 4.06461586
108.00000000, 4.06923361
109.00000000, 4.07385376
110.00000000, 4.07963232
111.00000000, 4.08425787
112.00000000, 4.08888582
113.00000000, 4.09467413
114.00000000, 4.09814892
115.00000000, 4.10278406
116.00000000, 4.10626199
117.00000000, 4.11090134
118.00000000, 4.11438242
119.00000000, 4.11670389
120.00000000, 4.12018722
121.00000000, 4.12251019
122.00000000, 4.12715793
123.00000000, 4.13180807
124.00000000, 4.13646061
125.00000000, 4.14227966
126.00000000, 4.14810245
127.00000000, 4.15276339
128.00000000, 4.15742672
129.00000000, 4.16325926
130.00000000, 4.16792799
131.00000000, 4.18896697
132.00000000, 4.20067629
133.00000000, 4.20888173
134.00000000, 4.21592081
135.00000000, 4.22296529
136.00000000, 4.22883981
137.00000000, 4.23589419
138.00000000, 4.24060011
139.00000000, 4.24530842
140.00000000, 4.25001914
141.00000000, 4.25591090
142.00000000, 4.25944776
143.00000000, 4.26416567
144.00000000, 4.26770568
145.00000000, 4.27006644
146.00000000, 4.27360869
147.00000000, 4.27951546
148.00000000, 4.28424356
149.00000000, 4.29015707
150.00000000, 4.29489058
151.00000000, 4.30199533
152.00000000, 4.30792009
153.00000000, 4.31622104
154.00000000, 4.32096774
155.00000000, 4.32452934
156.00000000, 4.32928023
157.00000000, 4.33284498
158.00000000, 4.33641108
159.00000000, 4.33997853
160.00000000, 4.34235757
161.00000000, 4.34592727
162.00000000, 4.34949832
163.00000000, 4.35545306
164.00000000, 4.36021955
165.00000000, 4.36498844
166.00000000, 4.36975973
167.00000000, 4.37453342
168.00000000, 4.37930951
169.00000000, 4.38289315
170.00000000, 4.38767343
171.00000000, 4.39126022
172.00000000, 4.39604471
173.00000000, 4.39963464
174.00000000, 4.40322593
175.00000000, 4.40681857
176.00000000, 4.41161085
177.00000000, 4.41400789
178.00000000, 4.41640553
179.00000000, 4.41880377
180.00000000, 4.42240225
181.00000000, 4.42480199
182.00000000, 4.42840272
183.00000000, 4.46327938
184.00000000, 4.47292272
185.00000000, 4.48136852
186.00000000, 4.48740572
187.00000000, 4.49223819
188.00000000, 4.49707305
189.00000000, 4.50070077
190.00000000, 4.50796027
191.00000000, 4.51401397
192.00000000, 4.52007142
193.00000000, 4.52492008
194.00000000, 4.52855814
195.00000000, 4.53583833
196.00000000, 4.54069478
197.00000000, 4.54433870
198.00000000, 4.55041489
199.00000000, 4.55527854
200.00000000, 4.56136148
201.00000000, 4.56623053
202.00000000, 4.57110198
203.00000000, 4.57353861
204.00000000, 4.57597583
205.00000000, 4.57841365
206.00000000, 4.58207151
207.00000000, 4.58573072
208.00000000, 4.58939128
209.00000000, 4.59549521
210.00000000, 4.60038105
211.00000000, 4.60649173
212.00000000, 4.61260616
213.00000000, 4.61872433
214.00000000, 4.62362157
215.00000000, 4.62852121
216.00000000, 4.63342324
217.00000000, 4.63832768
218.00000000, 4.64200758
219.00000000, 4.64568883
220.00000000, 4.65059926
221.00000000, 4.65428366
222.00000000, 4.65796941
223.00000000, 4.66165651
224.00000000, 4.66657474
225.00000000, 4.67149537
226.00000000, 4.67764953
227.00000000, 4.68257556
228.00000000, 4.68750398
229.00000000, 4.69243481
230.00000000, 4.69736803
231.00000000, 4.70230365
232.00000000, 4.73692019
233.00000000, 4.75303211
234.00000000, 4.76295973
235.00000000, 4.77289695
236.00000000, 4.78035616
237.00000000, 4.78906539
238.00000000, 4.79653630
239.00000000, 4.80276618
240.00000000, 4.80899981
241.00000000, 4.81523718
